"filename", "language", "XML", "Markdown", "JavaScript", "JSON", "JSON with Comments", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\context\FlashcardsContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\context\FlashcardsProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 10, 47
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\context\ModalContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\context\ModalProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 6, 39
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\context\OptionsMenuManagerContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\context\OptionsMenuManagerProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 9, 43
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\context\QueryProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\context\UIProviders.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\data\cards.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\data\deck.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 0, 0, 42
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\eslint.config.mjs", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\hooks\useDecks.js", "JavaScript", 0, 0, 91, 0, 0, 0, 0, 7, 22, 120
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
